month,svm positive,svm negative,decision tree positive,decision tree negative,mlp positive,mlp negative
2018-12,3.474903474903475,96.52509652509652,39.38223938223938,60.61776061776062,3.088803088803089,96.91119691119691
2017-05,1.348747591522158,98.65125240847784,31.79190751445087,68.20809248554913,4.624277456647398,95.37572254335261
2017-02,3.6608863198458574,96.33911368015414,30.828516377649322,69.17148362235068,2.312138728323699,97.6878612716763
2017-09,4.423076923076923,95.57692307692308,38.26923076923077,61.73076923076923,2.5,97.5
2019-03,2.119460500963391,97.88053949903662,41.811175337186896,58.1888246628131,1.9267822736030826,98.07321772639692
2019-04,2.1153846153846154,97.88461538461539,38.65384615384615,61.346153846153854,1.9230769230769231,98.07692307692307
2018-10,1.9305019305019304,98.06949806949807,34.74903474903475,65.25096525096525,1.9305019305019304,98.06949806949807
2019-01,2.3166023166023164,97.68339768339769,35.13513513513514,64.86486486486487,3.474903474903475,96.52509652509652
2018-01,2.6923076923076925,97.3076923076923,31.92307692307692,68.07692307692308,2.5,97.5
2018-04,3.076923076923077,96.92307692307692,39.03846153846154,60.96153846153847,3.8461538461538463,96.15384615384616
2017-03,3.8461538461538463,96.15384615384616,31.346153846153847,68.65384615384616,2.1153846153846154,97.88461538461539
2018-07,3.275529865125241,96.72447013487476,36.03082851637765,63.969171483622354,2.119460500963391,97.88053949903662
2018-09,2.307692307692308,97.6923076923077,42.69230769230769,57.30769230769231,2.1153846153846154,97.88461538461539
2017-10,2.5,97.5,29.807692307692307,70.1923076923077,2.5,97.5
2017-06,3.076923076923077,96.92307692307692,38.84615384615385,61.15384615384616,4.423076923076923,95.57692307692308
2018-06,3.8461538461538463,96.15384615384616,43.269230769230774,56.730769230769226,4.807692307692308,95.1923076923077
2016-12,3.875968992248062,96.12403100775194,36.04651162790697,63.95348837209303,3.2945736434108532,96.70542635658916
2017-12,3.275529865125241,96.72447013487476,34.48940269749518,65.51059730250482,2.697495183044316,97.30250481695568
2017-08,2.8846153846153846,97.11538461538461,37.11538461538461,62.88461538461539,2.8846153846153846,97.11538461538461
2018-03,0.7707129094412332,99.22928709055877,39.884393063583815,60.115606936416185,2.8901734104046244,97.10982658959537
